id;nombre;apellido;email;clave;tipo
1;Buckinghamshire transmitting;multiestado;Gustavo.Rivera12@hotmail.com;Account;true
2;Pescado;Interno Leone;MaraElena58@yahoo.com;neural Buckinghamshire Aragón;false
3;Berkshire user-centric Acero;Borders Morado cross-platform;Silvia_Aguirre@gmail.com;Facilitador Hecho morph;true
4;real-time generación;Violeta;Jos.Crespo@yahoo.com;navigating;true
5;Corporativo Investigación Guantes;payment;Lorena.Alicea@gmail.com;Intuitivo;false
6;Bricolaje International Perú;bandwidth Grupo;Lucas.Cordero61@yahoo.com;invoice CSS;false
7;bypassing;Salud complejidad hack;Concepcin_Aguayo12@gmail.com;Granito Horizontal;true
8;withdrawal Vía;Mascotas Gourde;Leonor29@hotmail.com;platforms platforms Fantástico;false
9;Borders Gorro web-readiness;e-services generación optical;Natalia_Olivera72@gmail.com;Dinánmico Ladrillo;false
10;Operaciones Borders open-source;Cambridgeshire Kazajistan;Francisca_Castro39@yahoo.com;markets Credit;true
